wafer_id,x,y,hbin,sbin,test_000,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019
W01,-3,-12,1,1,45.678,49.9891,57.9971,82.5,68.0758,93.5,78.5597,104.5,83.6128,96.4138,66.0,71.5,77.0,62.7764,70.4998,71.8468,77.5076,85.7919,86.8347,94.6788
W01,-2,-12,2,2,66.0,60.4436,77.0,65.1203,88.0,93.5,78.8037,91.5445,88.4188,94.8033,66.0,55.8223,60.7313,68.3537,71.5632,72.4011,79.9086,82.1195,93.0088,115.5
W01,-1,-12,1,1,50.6767,57.0396,50.2179,66.8794,73.4377,75.4554,76.3691,84.5657,110.0,96.1024,53.8279,56.2315,60.4525,66.6843,65.1865,76.5383,77.0909,104.5,85.493,96.3308
W01,0,-12,1,1,48.5459,53.7212,61.1792,63.888,69.1124,93.5,76.3375,90.488,93.5546,115.5,50.3123,58.0053,77.0,82.5,65.2767,73.807,82.2513,82.7326,84.9382,89.2098
W01,1,-12,1,1,51.5936,71.5,77.0,68.416,69.7271,71.9494,79.2091,86.8119,91.1322,95.0294,50.1786,53.9178,61.3774,61.1902,69.5797,71.3837,84.6669,84.7579,91.8059,97.5339
W01,2,-12,1,1,52.4291,71.5,59.6688,68.8026,65.6359,93.5,85.9797,84.1663,90.4094,97.0136,53.5035,52.7087,61.6418,63.2146,70.1052,74.3116,76.0509,87.2781,89.2126,92.0264
W01,3,-12,1,1,48.51,52.9536,63.5532,65.7219,67.4806,79.5985,77.6617,79.6229,86.0496,97.7789,50.9457,52.7657,56.6373,63.9486,66.0521,93.5,80.9242,85.5941,89.2223,94.4345
W01,-6,-11,1,1,51.1237,50.9862,62.332,62.3871,72.4983,71.6384,76.8817,84.6922,87.3084,100.3992,51.4602,71.5,56.7862,65.3448,67.1,72.2417,79.4493,80.6772,88.5707,95.9277
W01,-5,-11,1,1,46.5914,58.3937,56.7274,64.1771,69.5813,74.9105,77.4299,104.5,91.1868,92.4316,50.1031,61.0091,64.6635,82.5,71.9004,71.3988,87.2703,89.1594,95.149,96.864
W01,-4,-11,1,1,47.9354,56.8264,60.7377,65.0221,75.7034,93.5,82.1439,85.4389,96.2182,94.8212,48.618,71.5,59.0969,64.0037,88.0,73.415,77.7999,88.825,86.6485,93.9486
W01,-3,-11,2,2,51.2647,55.7423,58.4783,66.2215,73.0898,72.12,77.1162,104.5,89.3235,98.1435,52.6035,54.9768,56.7601,62.344,68.6114,73.6598,79.2411,85.0239,91.7314,96.8886
